Stock;Brand ;Brand 2;Brand 3;€ Unit;# Box;€ Box;Size;Country;Distributor;;;
;AVO;HERITAGE;robusto;12,50;20;250,00;;;ZABIA;;;
;AVO;HERITAGE;special toro;15,00;20;300,00;;;ZABIA;;;
;AVO;LIMITED EDITION AVO;Seasons Summer L.E;23,00;10;230,00;;;ZABIA;;;
;AVO;LIMITED EDITION AVO;Seasons Fall L.E;23,00;10;230,00;;;ZABIA;;;
;AVO;LIMITED EDITION AVO;Seasons Winter L.E;23,00;10;230,00;;;ZABIA;;;
;AVO;LIMITED EDITION AVO;Expressions L.E.;21,00;15;315,00;;;ZABIA;;;
;BOLIVAR;CORONAS JUNIOR;MINUTOS;10,40;25;260,00;42 X 110;Cuba;Laguito;;;
;BOLIVAR;ROYAL CORONAS;ROBUSTOS;17,20;25;430,00;50 X 124;Cuba;Laguito;;;
;BOLIVAR;BELICOSOS FINOS;CAMPANAS;20,60;25;515,00;52 X 140;Cuba;Laguito;;;
;C.L.E.;EIROA ;The first 20 years toro prensado ;19,00;20;380,00;54 X 153;Nicaragua;CAT;;;
;C.L.E.;;Corojo robusto;11,90;25;297,50;50 X 127;Nicaragua;CAT;;;
;C.L.E.;;Prieto robusto box pressed;11,90;25;297,50;50 X 127;Nicaragua;CAT;;;
;CAIN;;Daytona;11,50;24;276,00;50 X 127;;VCF;;;
;CAIN;;Daytona;13,90;24;333,60;60 X 153;;VCF;;;
;CAIN;;F straight ligero;13,90;24;333,60;60 X 153;;VCF;;;
;CAIN;;F;9,20;24;220,80;50 X 147;;VCF;;;
;Caldwell;BLIND MANS BLUFF ;Maduro toro ;12,50;20;250,00;52 X 153;Dom. Rep;CAT;;;
;CAMACHO;;Criollo tubos;11,00;10;110,00;;;ZABIA;;;
;CAMACHO;CONNECTICUT;Connecticut Robusto ;9,90;20;198,00;;;ZABIA;;;
;CAMACHO;CONNECTICUT;Connecticut Toro;12,00;20;240,00;;;ZABIA;;;
;CAMACHO;COROJO;Corojo Robusto;9,90;20;198,00;;;ZABIA;;;
;CAMACHO;COROJO;Corojo Toro;12,00;20;240,00;;;ZABIA;;;
;CAMACHO;ECUADOR;Ecuador Robusto;9,90;20;198,00;;;ZABIA;;;
;CAMACHO;ECUADOR;Ecuador Toro;12,00;20;240,00;;;ZABIA;;;
;CAMACHO;ECUADOR;Ecuador Gordo;13,50;20;270,00;;;ZABIA;;;
;CAMACHO;NICARAGUA ;Robusto;9,90;20;198,00;;;ZABIA;;;
;CAMACHO;NICARAGUA ;Toro;12,00;20;240,00;;;ZABIA;;;
;CAMACHO;NICARAGUA ;Gran Churchill;14,00;20;280,00;;;ZABIA;;;
;CAPITOL;SWING 44;SWING;9,00;10;90,00;44 X 129;Nicaragua;Laguito;;;
;CAPITOL;JACK 52;JACK;10,00;10;100,00;52 X 120;Nicaragua;Laguito;;;
;CAPITOL;CASINO 54;CASINO;12,00;10;120,00;54 X 135;Nicaragua;Laguito;;;
;CAPITOL;GALA 56;GALA;14,00;10;140,00;56 X 155;Nicaragua;Laguito;;;
;CASDAGLI;BOS Epicurist Figurado  ;;18,50;20;370,00;47 X 159;Dom. Rep;Koopmans;;;
;CASDAGLI;Cabinet Selection ristretto  ;;10,50;50;525,00;50 X 102;Dom. Rep;Koopmans;;;
;CASDAGLI;Cypher 3311 Colossus  ;;52,00;8;416,00;60 X 152;Costa Rica;Koopmans;;;
;CASDAGLI;Cypher 3311 Enigma  ;;52,00;8;416,00;49 X 191;Costa Rica;Koopmans;;;
;CASDAGLI;Cypher 3311 Lorenz  ;;52,00;8;416,00;58 X 224;Costa Rica;Koopmans;;;
;CASDAGLI;Dow Cremello Lancero  ;;19,00;12;228,00;39 X 190;Dom. Rep;Koopmans;;;
;CASDAGLI;Dow Dahman Toro  ;;22,00;12;264,00;56 X 180;Costa Rica;Koopmans;;;
;CASDAGLI;Dow Pony Express  ;;22,00;15;330,00;48 X 152;Costa Rica;Koopmans;;;
;CASDAGLI;Dow Sabino Figurado;;24,00;12;288,00;60 X 157;Costa Rica;Koopmans;;;
;CASDAGLI;Traditional Cotton Tail ;;18,00;20;360,00;52 X 127;Dom. Rep;Koopmans;;;
;CASDAGLI;Traditional Grand Cafe Maduro ;;16,00;20;320,00;39 X 190;Dom. Rep;Koopmans;;;
;CASDAGLI;Traditional robusto   ;;14,00;20;280,00;50 X 125;Dom. Rep;Koopmans;;;
;CASDAGLI;Villa C. Pigasus ;;14,50;12;174,00;58 X 127;Costa Rica;Koopmans;;;
;CASDAGLI;Villa C. robusto;;12,50;12;150,00;58 X 124;Costa Rica;Koopmans;;;
;CAVALIER GENÈVE;BII-Viso Jalapa robusto  ;;14,00;20;280,00;50 X 127;Nicaragua;Koopmans;;;
;CAVALIER GENÈVE;BII-Viso Jalapa Toro  ;;15,00;20;300,00;54 X 152;Nicaragua;Koopmans;;;
;CAVALIER GENÈVE;Black II Lancero  ;;15,00;20;300,00;38 X 178;Honduras;Koopmans;;;
;CAVALIER GENÈVE;Black II robusto  ;;14,00;20;280,00;50 X 127;Honduras;Koopmans;;;
;CAVALIER GENÈVE;Tres Del Connecticut robusto  ;;12,00;24;288,00;50 X 127;Honduras;Koopmans;;;
;CAVALIER GENÈVE;Tres Del Habano robusto  ;;12,00;24;288,00;50 X 127;Honduras;Koopmans;;;
;CAVALIER GENÈVE;Tres Del Maduro robusto  ;;12,00;24;288,00;50 X 127;Honduras;Koopmans;;;
